text,category,tags
你好，请问有什么可以帮您的？,开场白,问候
您好！我是您的专属顾问，请问您想了解哪方面的产品呢？,开场白,问候
感谢您的咨询！我来为您详细解答。,开场白,感谢
我们的产品A采用最新的纳米技术，具有出色的耐用性和长寿命。,产品介绍,产品A;特性
产品A的标准保修期为3年，购买后7天内可无条件退货。,产品介绍,产品A;售后
产品A目前有两个规格：标准版（适合家庭使用）和Pro版（适合商业场景）。,产品介绍,产品A;规格
标准版价格为299元，Pro版价格为599元。,产品介绍,产品A;价格
我们支持微信支付、支付宝、银行卡转账三种付款方式。,付款,支付
付款后48小时内发货，全国包邮，偏远地区加收20元运费。,物流,发货
收到商品后如有质量问题，请在24小时内拍照联系客服，我们免费换新。,售后,退换
正常使用导致的老化不在保修范围内，人为损坏需自费维修。,售后,保修范围
我们的客服工作时间是周一至周六 9:00-18:00。,客服,工作时间
如需电话咨询，请拨打 400-888-xxxx，转人工按0。,客服,电话
产品B将在下个月上市，敬请期待！,产品介绍,产品B;新品
目前我们有满299减30、满599减80的优惠活动。,营销,优惠
老客户推荐新客户购买，双方各得50元优惠券。,营销,推荐
您的订单已确认，预计3-5个工作日送达。,物流,订单
如需修改收货地址，请在发货前联系客服，发货后无法更改。,物流,地址
批发订单请联系企业客服，最低起订量50件，享专属批发折扣。,营销,批发
感谢您的耐心等待，正在为您查询相关信息。,过渡语,等待
